CfgEvaluationType;CfgCacheType;CfgNSets;CfgNWays;CfgReplAlg;CfgCParam0;CfgCParam1;CfgCParam2;CfgCParam3;CfgEvSetFactor;CfgNExperiments;CfgNProfileRuns;CfgNEvalRuns;CfgUseFlush;AddrFound;TPR;EvSR;EvSRwEvict;EvSRwFlush;AttackMem;Attacker-RdHits;Attacker-RdMisses;Attacker-RdEvictions;Attacker-WrHits;Attacker-WrMisses;Attacker-WrEvictions;Attacker-ExecHits;Attacker-ExecMisses;Attacker-ExecEvictions;Attacker-InvHits;Attacker-InvMisses;Victim-RdHits;Victim-RdMisses;Victim-RdEvictions;Victim-WrHits;Victim-WrMisses;Victim-WrEvictions;Victim-ExecHits;Victim-ExecMisses;Victim-ExecEvictions;Victim-InvHits;Victim-InvMisses
EvictionSetSizeP90-MAX;associative;1;2048;random;0;0;0;0;0;1;0;0;1;6536;1;-1.79769e+308;-1.79769e+308;-1.79769e+308;1310720000;0;49358000;25830044;0;0;0;0;0;0;23527956;25830044;4694;18306;6807;0;0;0;0;0;0;11499;1
EvictionSetSizeP90-MIN;associative;1;2048;random;0;0;0;0;0;1;0;0;1;6536;1;1.79769e+308;1.79769e+308;1.79769e+308;1310720000;0;49358000;25830044;0;0;0;0;0;0;23527956;25830044;4694;18306;6807;0;0;0;0;0;0;11499;1
EvictionSetSizeP90-AVG;associative;1;2048;random;0;0;0;0;0;1;0;0;1;6536;1;-nan;-nan;-nan;1.31072e+09;0;4.9358e+07;2.583e+07;0;0;0;0;0;0;2.3528e+07;2.583e+07;4694;18306;6807;0;0;0;0;0;0;11499;1
EvictionSetSizeP90-MEDIAN;associative;1;2048;random;0;0;0;0;0;1;0;0;1;6536;1;-nan;-nan;-nan;1310720000;0;49358000;25830044;0;0;0;0;0;0;23527956;25830044;4694;18306;6807;0;0;0;0;0;0;11499;1
EvictionSetSizeP90-VAR;associative;1;2048;random;0;0;0;0;0;1;0;0;1;0;0;-nan;-nan;-nan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FilledCacheProfilingLRU-MAX;associative;1;2048;random;0;0;0;0;4;1;50;1000;1;2190;1;0.134;0.587;0.063;262144;20371;57427;45185;0;0;0;0;0;0;14290;14382;0;7;7;0;0;0;0;0;0;0;0
FilledCacheProfilingLRU-MIN;associative;1;2048;random;0;0;0;0;4;1;50;1000;1;2190;1;0.134;0.587;0.063;262144;20371;57427;45185;0;0;0;0;0;0;14290;14382;0;7;7;0;0;0;0;0;0;0;0
FilledCacheProfilingLRU-AVG;associative;1;2048;random;0;0;0;0;4;1;50;1000;1;2190;1;0.134;0.587;0.063;262144;20371;57427;45185;0;0;0;0;0;0;14290;14382;0;7;7;0;0;0;0;0;0;0;0
FilledCacheProfilingLRU-MEDIAN;associative;1;2048;random;0;0;0;0;4;1;50;1000;1;2190;1;0.134;0.587;0.063;262144;20371;57427;45185;0;0;0;0;0;0;14290;14382;0;7;7;0;0;0;0;0;0;0;0
FilledCacheProfilingLRU-VAR;associative;1;2048;random;0;0;0;0;4;1;50;1000;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
