CfgEvaluationType;CfgCacheType;CfgNSets;CfgNWays;CfgReplAlg;CfgCParam0;CfgCParam1;CfgCParam2;CfgCParam3;CfgEvSetFactor;CfgNExperiments;CfgNProfileRuns;CfgNEvalRuns;CfgUseFlush;AddrFound;TPR;EvSR;EvSRwEvict;EvSRwFlush;AttackMem;Attacker-RdHits;Attacker-RdMisses;Attacker-RdEvictions;Attacker-WrHits;Attacker-WrMisses;Attacker-WrEvictions;Attacker-ExecHits;Attacker-ExecMisses;Attacker-ExecEvictions;Attacker-InvHits;Attacker-InvMisses;Victim-RdHits;Victim-RdMisses;Victim-RdEvictions;Victim-WrHits;Victim-WrMisses;Victim-WrEvictions;Victim-ExecHits;Victim-ExecMisses;Victim-ExecEvictions;Victim-InvHits;Victim-InvMisses
EvictionSetSizeP90-MAX;associative;1;2048;tree-plru;0;0;0;0;0;1;0;0;1;2048;1;-1.79769e+308;-1.79769e+308;-1.79769e+308;1310720000;0;1024000;2547;0;0;0;0;0;0;1021453;2547;0;1000;501;0;0;0;0;0;0;499;1
EvictionSetSizeP90-MIN;associative;1;2048;tree-plru;0;0;0;0;0;1;0;0;1;2048;1;1.79769e+308;1.79769e+308;1.79769e+308;1310720000;0;1024000;2547;0;0;0;0;0;0;1021453;2547;0;1000;501;0;0;0;0;0;0;499;1
EvictionSetSizeP90-AVG;associative;1;2048;tree-plru;0;0;0;0;0;1;0;0;1;2048;1;-nan;-nan;-nan;1.31072e+09;0;1.024e+06;2547;0;0;0;0;0;0;1.02145e+06;2547;0;1000;501;0;0;0;0;0;0;499;1
EvictionSetSizeP90-MEDIAN;associative;1;2048;tree-plru;0;0;0;0;0;1;0;0;1;2048;1;-nan;-nan;-nan;1310720000;0;1024000;2547;0;0;0;0;0;0;1021453;2547;0;1000;501;0;0;0;0;0;0;499;1
EvictionSetSizeP90-VAR;associative;1;2048;tree-plru;0;0;0;0;0;1;0;0;1;0;0;-nan;-nan;-nan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FilledCacheProfilingLRU-MAX;associative;1;2048;tree-plru;0;0;0;0;4;1;50;1000;1;2048;1;0.265;1;0;262144;2048;10240;10240;0;0;0;0;0;0;2048;2048;0;1;1;0;0;0;0;0;0;0;0
FilledCacheProfilingLRU-MIN;associative;1;2048;tree-plru;0;0;0;0;4;1;50;1000;1;2048;1;0.265;1;0;262144;2048;10240;10240;0;0;0;0;0;0;2048;2048;0;1;1;0;0;0;0;0;0;0;0
FilledCacheProfilingLRU-AVG;associative;1;2048;tree-plru;0;0;0;0;4;1;50;1000;1;2048;1;0.265;1;0;262144;2048;10240;10240;0;0;0;0;0;0;2048;2048;0;1;1;0;0;0;0;0;0;0;0
FilledCacheProfilingLRU-MEDIAN;associative;1;2048;tree-plru;0;0;0;0;4;1;50;1000;1;2048;1;0.265;1;0;262144;2048;10240;10240;0;0;0;0;0;0;2048;2048;0;1;1;0;0;0;0;0;0;0;0
FilledCacheProfilingLRU-VAR;associative;1;2048;tree-plru;0;0;0;0;4;1;50;1000;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FilledCacheProfilingPLRU-MAX;associative;1;2048;tree-plru;0;0;0;0;4;1;50;1000;1;2048;1;0.265;1;0;1048576;6151;10219;10219;0;0;0;0;0;0;2048;14336;0;1;1;0;0;0;0;0;0;0;0
FilledCacheProfilingPLRU-MIN;associative;1;2048;tree-plru;0;0;0;0;4;1;50;1000;1;2048;1;0.265;1;0;1048576;6151;10219;10219;0;0;0;0;0;0;2048;14336;0;1;1;0;0;0;0;0;0;0;0
FilledCacheProfilingPLRU-AVG;associative;1;2048;tree-plru;0;0;0;0;4;1;50;1000;1;2048;1;0.265;1;0;1.04858e+06;6151;10219;10219;0;0;0;0;0;0;2048;14336;0;1;1;0;0;0;0;0;0;0;0
FilledCacheProfilingPLRU-MEDIAN;associative;1;2048;tree-plru;0;0;0;0;4;1;50;1000;1;2048;1;0.265;1;0;1048576;6151;10219;10219;0;0;0;0;0;0;2048;14336;0;1;1;0;0;0;0;0;0;0;0
FilledCacheProfilingPLRU-VAR;associative;1;2048;tree-plru;0;0;0;0;4;1;50;1000;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
