CfgEvaluationType;CfgCacheType;CfgNSets;CfgNWays;CfgReplAlg;CfgCParam0;CfgCParam1;CfgCParam2;CfgCParam3;CfgEvSetFactor;CfgNExperiments;CfgNProfileRuns;CfgNEvalRuns;CfgUseFlush;AddrFound;TPR;EvSR;EvSRwEvict;EvSRwFlush;AttackMem;Attacker-RdHits;Attacker-RdMisses;Attacker-RdEvictions;Attacker-WrHits;Attacker-WrMisses;Attacker-WrEvictions;Attacker-ExecHits;Attacker-ExecMisses;Attacker-ExecEvictions;Attacker-InvHits;Attacker-InvMisses;Victim-RdHits;Victim-RdMisses;Victim-RdEvictions;Victim-WrHits;Victim-WrMisses;Victim-WrEvictions;Victim-ExecHits;Victim-ExecMisses;Victim-ExecEvictions;Victim-InvHits;Victim-InvMisses
EvictionSetSizeP90-MAX;associative;1;256;bit-plru;0;0;0;0;0;1;0;0;1;506;1;-1.79769e+308;-1.79769e+308;-1.79769e+308;163840000;0;2095500;693255;0;0;0;0;0;0;1402245;693255;2772;8228;2729;0;0;0;0;0;0;5499;1
EvictionSetSizeP90-MIN;associative;1;256;bit-plru;0;0;0;0;0;1;0;0;1;506;1;1.79769e+308;1.79769e+308;1.79769e+308;163840000;0;2095500;693255;0;0;0;0;0;0;1402245;693255;2772;8228;2729;0;0;0;0;0;0;5499;1
EvictionSetSizeP90-AVG;associative;1;256;bit-plru;0;0;0;0;0;1;0;0;1;506;1;-nan;-nan;-nan;1.6384e+08;0;2.0955e+06;693255;0;0;0;0;0;0;1.40224e+06;693255;2772;8228;2729;0;0;0;0;0;0;5499;1
EvictionSetSizeP90-MEDIAN;associative;1;256;bit-plru;0;0;0;0;0;1;0;0;1;506;1;-nan;-nan;-nan;163840000;0;2095500;693255;0;0;0;0;0;0;1402245;693255;2772;8228;2729;0;0;0;0;0;0;5499;1
EvictionSetSizeP90-VAR;associative;1;256;bit-plru;0;0;0;0;0;1;0;0;1;0;0;-nan;-nan;-nan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FilledCacheProfilingLRU-MAX;associative;1;256;bit-plru;0;0;0;0;4;1;50;1000;1;253;1;0;0;0;32768;3289600;16345600;13081855;0;0;0;0;0;0;3264000;3289600;0;12800;12800;0;0;0;0;0;0;0;0
FilledCacheProfilingLRU-MIN;associative;1;256;bit-plru;0;0;0;0;4;1;50;1000;1;253;1;0;0;0;32768;3289600;16345600;13081855;0;0;0;0;0;0;3264000;3289600;0;12800;12800;0;0;0;0;0;0;0;0
FilledCacheProfilingLRU-AVG;associative;1;256;bit-plru;0;0;0;0;4;1;50;1000;1;253;1;0;0;0;32768;3.2896e+06;1.63456e+07;1.30819e+07;0;0;0;0;0;0;3.264e+06;3.2896e+06;0;12800;12800;0;0;0;0;0;0;0;0
FilledCacheProfilingLRU-MEDIAN;associative;1;256;bit-plru;0;0;0;0;4;1;50;1000;1;253;1;0;0;0;32768;3289600;16345600;13081855;0;0;0;0;0;0;3264000;3289600;0;12800;12800;0;0;0;0;0;0;0;0
FilledCacheProfilingLRU-VAR;associative;1;256;bit-plru;0;0;0;0;4;1;50;1000;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
