CfgEvaluationType;CfgCacheType;CfgNSets;CfgNWays;CfgReplAlg;CfgCParam0;CfgCParam1;CfgCParam2;CfgCParam3;CfgEvSetFactor;CfgNExperiments;CfgNProfileRuns;CfgNEvalRuns;CfgUseFlush;AddrFound;TPR;EvSR;EvSRwEvict;EvSRwFlush;AttackMem;Attacker-RdHits;Attacker-RdMisses;Attacker-RdEvictions;Attacker-WrHits;Attacker-WrMisses;Attacker-WrEvictions;Attacker-ExecHits;Attacker-ExecMisses;Attacker-ExecEvictions;Attacker-InvHits;Attacker-InvMisses;Victim-RdHits;Victim-RdMisses;Victim-RdEvictions;Victim-WrHits;Victim-WrMisses;Victim-WrEvictions;Victim-ExecHits;Victim-ExecMisses;Victim-ExecEvictions;Victim-InvHits;Victim-InvMisses
EvictionSetSizeP90-MAX;associative;1;256;lru;0;0;0;0;0;1;0;0;1;256;1;-1.79769e+308;-1.79769e+308;-1.79769e+308;163840000;0;128000;755;0;0;0;0;0;0;127245;755;0;1000;501;0;0;0;0;0;0;499;1
EvictionSetSizeP90-MIN;associative;1;256;lru;0;0;0;0;0;1;0;0;1;256;1;1.79769e+308;1.79769e+308;1.79769e+308;163840000;0;128000;755;0;0;0;0;0;0;127245;755;0;1000;501;0;0;0;0;0;0;499;1
EvictionSetSizeP90-AVG;associative;1;256;lru;0;0;0;0;0;1;0;0;1;256;1;-nan;-nan;-nan;1.6384e+08;0;128000;755;0;0;0;0;0;0;127245;755;0;1000;501;0;0;0;0;0;0;499;1
EvictionSetSizeP90-MEDIAN;associative;1;256;lru;0;0;0;0;0;1;0;0;1;256;1;-nan;-nan;-nan;163840000;0;128000;755;0;0;0;0;0;0;127245;755;0;1000;501;0;0;0;0;0;0;499;1
EvictionSetSizeP90-VAR;associative;1;256;lru;0;0;0;0;0;1;0;0;1;0;0;-nan;-nan;-nan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FilledCacheProfilingLRU-MAX;associative;1;256;lru;0;0;0;0;4;1;50;1000;1;256;1;1;1;1;32768;256;1280;1280;0;0;0;0;0;0;256;256;0;1;1;0;0;0;0;0;0;0;0
FilledCacheProfilingLRU-MIN;associative;1;256;lru;0;0;0;0;4;1;50;1000;1;256;1;1;1;1;32768;256;1280;1280;0;0;0;0;0;0;256;256;0;1;1;0;0;0;0;0;0;0;0
FilledCacheProfilingLRU-AVG;associative;1;256;lru;0;0;0;0;4;1;50;1000;1;256;1;1;1;1;32768;256;1280;1280;0;0;0;0;0;0;256;256;0;1;1;0;0;0;0;0;0;0;0
FilledCacheProfilingLRU-MEDIAN;associative;1;256;lru;0;0;0;0;4;1;50;1000;1;256;1;1;1;1;32768;256;1280;1280;0;0;0;0;0;0;256;256;0;1;1;0;0;0;0;0;0;0;0
FilledCacheProfilingLRU-VAR;associative;1;256;lru;0;0;0;0;4;1;50;1000;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FilledCacheProfilingPLRU-MAX;associative;1;256;lru;0;0;0;0;4;1;50;1000;1;256;1;1;1;1;131072;811;1151;1151;0;0;0;0;0;0;256;1792;0;1;1;0;0;0;0;0;0;0;0
FilledCacheProfilingPLRU-MIN;associative;1;256;lru;0;0;0;0;4;1;50;1000;1;256;1;1;1;1;131072;811;1151;1151;0;0;0;0;0;0;256;1792;0;1;1;0;0;0;0;0;0;0;0
FilledCacheProfilingPLRU-AVG;associative;1;256;lru;0;0;0;0;4;1;50;1000;1;256;1;1;1;1;131072;811;1151;1151;0;0;0;0;0;0;256;1792;0;1;1;0;0;0;0;0;0;0;0
FilledCacheProfilingPLRU-MEDIAN;associative;1;256;lru;0;0;0;0;4;1;50;1000;1;256;1;1;1;1;131072;811;1151;1151;0;0;0;0;0;0;256;1792;0;1;1;0;0;0;0;0;0;0;0
FilledCacheProfilingPLRU-VAR;associative;1;256;lru;0;0;0;0;4;1;50;1000;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FilledCacheProfiling-MAX;associative;1;256;lru;0;0;0;0;4;1;50;1000;1;33;1;0;0;0;131072;4820292;4937355;1742466;0;0;0;0;0;0;3195298;23019102;6135;6665;6511;0;0;0;0;0;0;0;0
FilledCacheProfiling-MIN;associative;1;256;lru;0;0;0;0;4;1;50;1000;1;33;1;0;0;0;131072;4820292;4937355;1742466;0;0;0;0;0;0;3195298;23019102;6135;6665;6511;0;0;0;0;0;0;0;0
FilledCacheProfiling-AVG;associative;1;256;lru;0;0;0;0;4;1;50;1000;1;33;1;0;0;0;131072;4.82029e+06;4.93736e+06;1.74247e+06;0;0;0;0;0;0;3.1953e+06;2.30191e+07;6135;6665;6511;0;0;0;0;0;0;0;0
FilledCacheProfiling-MEDIAN;associative;1;256;lru;0;0;0;0;4;1;50;1000;1;33;1;0;0;0;131072;4820292;4937355;1742466;0;0;0;0;0;0;3195298;23019102;6135;6665;6511;0;0;0;0;0;0;0;0
FilledCacheProfiling-VAR;associative;1;256;lru;0;0;0;0;4;1;50;1000;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FilledCacheProfilingSingleHold-MAX;associative;1;256;lru;0;0;0;0;4;1;50;1000;1;256;1;1;1;1;131072;0;2065536;1608576;0;0;0;0;0;0;457215;3214849;1793;3586;1794;0;0;0;0;0;0;1793;0
FilledCacheProfilingSingleHold-MIN;associative;1;256;lru;0;0;0;0;4;1;50;1000;1;256;1;1;1;1;131072;0;2065536;1608576;0;0;0;0;0;0;457215;3214849;1793;3586;1794;0;0;0;0;0;0;1793;0
