CfgEvaluationType;CfgCacheType;CfgNSets;CfgNWays;CfgReplAlg;CfgCParam0;CfgCParam1;CfgCParam2;CfgCParam3;CfgEvSetFactor;CfgNExperiments;CfgNProfileRuns;CfgNEvalRuns;CfgUseFlush;AddrFound;TPR;EvSR;EvSRwEvict;EvSRwFlush;AttackMem;Attacker-RdHits;Attacker-RdMisses;Attacker-RdEvictions;Attacker-WrHits;Attacker-WrMisses;Attacker-WrEvictions;Attacker-ExecHits;Attacker-ExecMisses;Attacker-ExecEvictions;Attacker-InvHits;Attacker-InvMisses;Victim-RdHits;Victim-RdMisses;Victim-RdEvictions;Victim-WrHits;Victim-WrMisses;Victim-WrEvictions;Victim-ExecHits;Victim-ExecMisses;Victim-ExecEvictions;Victim-InvHits;Victim-InvMisses
EvictionSetSizeP90-MAX;associative;1;256;random;0;0;0;0;0;1;0;0;1;831;1;-1.79769e+308;-1.79769e+308;-1.79769e+308;163840000;0;6522000;3463267;0;0;0;0;0;0;3058733;3463267;4780;19220;7221;0;0;0;0;0;0;11999;1
EvictionSetSizeP90-MIN;associative;1;256;random;0;0;0;0;0;1;0;0;1;831;1;1.79769e+308;1.79769e+308;1.79769e+308;163840000;0;6522000;3463267;0;0;0;0;0;0;3058733;3463267;4780;19220;7221;0;0;0;0;0;0;11999;1
EvictionSetSizeP90-AVG;associative;1;256;random;0;0;0;0;0;1;0;0;1;831;1;-nan;-nan;-nan;1.6384e+08;0;6.522e+06;3.46327e+06;0;0;0;0;0;0;3.05873e+06;3.46327e+06;4780;19220;7221;0;0;0;0;0;0;11999;1
EvictionSetSizeP90-MEDIAN;associative;1;256;random;0;0;0;0;0;1;0;0;1;831;1;-nan;-nan;-nan;163840000;0;6522000;3463267;0;0;0;0;0;0;3058733;3463267;4780;19220;7221;0;0;0;0;0;0;11999;1
EvictionSetSizeP90-VAR;associative;1;256;random;0;0;0;0;0;1;0;0;1;0;0;-nan;-nan;-nan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FilledCacheProfilingLRU-MAX;associative;1;256;random;0;0;0;0;4;1;50;1000;1;265;1;0.079;0.582;0.042;32768;2666;7142;5616;0;0;0;0;0;0;1782;1802;0;7;7;0;0;0;0;0;0;0;0
FilledCacheProfilingLRU-MIN;associative;1;256;random;0;0;0;0;4;1;50;1000;1;265;1;0.079;0.582;0.042;32768;2666;7142;5616;0;0;0;0;0;0;1782;1802;0;7;7;0;0;0;0;0;0;0;0
FilledCacheProfilingLRU-AVG;associative;1;256;random;0;0;0;0;4;1;50;1000;1;265;1;0.079;0.582;0.042;32768;2666;7142;5616;0;0;0;0;0;0;1782;1802;0;7;7;0;0;0;0;0;0;0;0
FilledCacheProfilingLRU-MEDIAN;associative;1;256;random;0;0;0;0;4;1;50;1000;1;265;1;0.079;0.582;0.042;32768;2666;7142;5616;0;0;0;0;0;0;1782;1802;0;7;7;0;0;0;0;0;0;0;0
FilledCacheProfilingLRU-VAR;associative;1;256;random;0;0;0;0;4;1;50;1000;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
