CfgEvaluationType;CfgCacheType;CfgNSets;CfgNWays;CfgReplAlg;CfgCParam0;CfgCParam1;CfgCParam2;CfgCParam3;CfgEvSetFactor;CfgNExperiments;CfgNProfileRuns;CfgNEvalRuns;CfgUseFlush;AddrFound;TPR;EvSR;EvSRwEvict;EvSRwFlush;AttackMem;Attacker-RdHits;Attacker-RdMisses;Attacker-RdEvictions;Attacker-WrHits;Attacker-WrMisses;Attacker-WrEvictions;Attacker-ExecHits;Attacker-ExecMisses;Attacker-ExecEvictions;Attacker-InvHits;Attacker-InvMisses;Victim-RdHits;Victim-RdMisses;Victim-RdEvictions;Victim-WrHits;Victim-WrMisses;Victim-WrEvictions;Victim-ExecHits;Victim-ExecMisses;Victim-ExecEvictions;Victim-InvHits;Victim-InvMisses
EvictionSetSizeP90-MAX;associative;1;512;bit-plru;0;0;0;0;0;1;0;0;1;971;1;-1.79769e+308;-1.79769e+308;-1.79769e+308;327680000;0;3707500;1153011;0;0;0;0;0;0;2554489;1153011;2749;7251;2252;0;0;0;0;0;0;4999;1
EvictionSetSizeP90-MIN;associative;1;512;bit-plru;0;0;0;0;0;1;0;0;1;971;1;1.79769e+308;1.79769e+308;1.79769e+308;327680000;0;3707500;1153011;0;0;0;0;0;0;2554489;1153011;2749;7251;2252;0;0;0;0;0;0;4999;1
EvictionSetSizeP90-AVG;associative;1;512;bit-plru;0;0;0;0;0;1;0;0;1;971;1;-nan;-nan;-nan;3.2768e+08;0;3.7075e+06;1.15301e+06;0;0;0;0;0;0;2.55449e+06;1.15301e+06;2749;7251;2252;0;0;0;0;0;0;4999;1
EvictionSetSizeP90-MEDIAN;associative;1;512;bit-plru;0;0;0;0;0;1;0;0;1;971;1;-nan;-nan;-nan;327680000;0;3707500;1153011;0;0;0;0;0;0;2554489;1153011;2749;7251;2252;0;0;0;0;0;0;4999;1
EvictionSetSizeP90-VAR;associative;1;512;bit-plru;0;0;0;0;0;1;0;0;1;0;0;-nan;-nan;-nan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FilledCacheProfilingLRU-MAX;associative;1;512;bit-plru;0;0;0;0;4;1;50;1000;1;509;1;0;0;0;65536;13132800;65459200;52378111;0;0;0;0;0;0;13081600;13132800;0;25600;25600;0;0;0;0;0;0;0;0
FilledCacheProfilingLRU-MIN;associative;1;512;bit-plru;0;0;0;0;4;1;50;1000;1;509;1;0;0;0;65536;13132800;65459200;52378111;0;0;0;0;0;0;13081600;13132800;0;25600;25600;0;0;0;0;0;0;0;0
FilledCacheProfilingLRU-AVG;associative;1;512;bit-plru;0;0;0;0;4;1;50;1000;1;509;1;0;0;0;65536;1.31328e+07;6.54592e+07;5.23781e+07;0;0;0;0;0;0;1.30816e+07;1.31328e+07;0;25600;25600;0;0;0;0;0;0;0;0
FilledCacheProfilingLRU-MEDIAN;associative;1;512;bit-plru;0;0;0;0;4;1;50;1000;1;509;1;0;0;0;65536;13132800;65459200;52378111;0;0;0;0;0;0;13081600;13132800;0;25600;25600;0;0;0;0;0;0;0;0
FilledCacheProfilingLRU-VAR;associative;1;512;bit-plru;0;0;0;0;4;1;50;1000;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FilledCacheProfilingPLRU-MAX;associative;1;512;bit-plru;0;0;0;0;4;1;50;1000;1;0;0;0;0;0;262144;55797125;52403005;39321916;0;0;0;0;0;0;13081600;91776000;0;25600;25600;0;0;0;0;0;0;0;0
FilledCacheProfilingPLRU-MIN;associative;1;512;bit-plru;0;0;0;0;4;1;50;1000;1;0;0;0;0;0;262144;55797125;52403005;39321916;0;0;0;0;0;0;13081600;91776000;0;25600;25600;0;0;0;0;0;0;0;0
FilledCacheProfilingPLRU-AVG;associative;1;512;bit-plru;0;0;0;0;4;1;50;1000;1;0;0;0;0;0;262144;5.57971e+07;5.2403e+07;3.93219e+07;0;0;0;0;0;0;1.30816e+07;9.1776e+07;0;25600;25600;0;0;0;0;0;0;0;0
FilledCacheProfilingPLRU-MEDIAN;associative;1;512;bit-plru;0;0;0;0;4;1;50;1000;1;0;0;0;0;0;262144;55797125;52403005;39321916;0;0;0;0;0;0;13081600;91776000;0;25600;25600;0;0;0;0;0;0;0;0
FilledCacheProfilingPLRU-VAR;associative;1;512;bit-plru;0;0;0;0;4;1;50;1000;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FilledCacheProfiling-MAX;associative;1;512;bit-plru;0;0;0;0;4;1;50;1000;1;47;1;0;0;0;262144;14195060;19546437;6668794;0;0;0;0;0;0;12878163;91979437;12717;12883;12874;0;0;0;0;0;0;0;0
FilledCacheProfiling-MIN;associative;1;512;bit-plru;0;0;0;0;4;1;50;1000;1;47;1;0;0;0;262144;14195060;19546437;6668794;0;0;0;0;0;0;12878163;91979437;12717;12883;12874;0;0;0;0;0;0;0;0
